market_id,question,cutoff_ts,token_used,last_mid,last_bid,last_ask,spread,depth_k,ob_imbalance,vol_1h,vol_24h,vol_7d,volat_1d,volat_7d,momentum_1h,momentum_24h,label_outcome
ere-tel-utr-2025-11-23-tel,Will Telstar 1963 win on 2025-11-23?,2025-11-23 00:00:00+00:00,77357469601684601707399068907183052850667831957001376917466727132447232617293,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-fey-nec-2025-11-23-fey,Will Feyenoord Rotterdam win on 2025-11-23?,2025-11-23 00:00:00+00:00,1676772196047921510903733434661966275945740755816245734322917784337358547637,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-gro-zwo-2025-11-23-draw,Will FC Groningen vs. PEC Zwolle end in a draw?,2025-11-23 00:00:00+00:00,18794186330349841802096291027700373533511778052888112468479034217667027389184,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-gro-zwo-2025-11-23-gro,Will FC Groningen win on 2025-11-23?,2025-11-23 00:00:00+00:00,78396661366933348307306879714630984147844308376590992152430367643122248552917,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-gro-zwo-2025-11-23-zwo,Will PEC Zwolle win on 2025-11-23?,2025-11-23 00:00:00+00:00,93748790075422369210850504823707549134231779301131127710491625776711880678378,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-her1-az-2025-11-23-her1,Will SC Heerenveen win on 2025-11-23?,2025-11-23 00:00:00+00:00,107564353777785225415539830706617613675475635658896872097741352917719156310472,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-nac-psv-2025-11-22-nac,Will NAC Breda win on 2025-11-22?,2025-11-22 00:00:00+00:00,14694810557780571154732658605166590169971812760966402708717993052834200905031,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-her-goa-2025-11-22-goa,Will Go Ahead Eagles win on 2025-11-22?,2025-11-22 00:00:00+00:00,80453068347098986932333990953999790334798342716592604292331507199498041311007,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-qpr-hul-2025-11-22-hul,Will Hull City AFC win on 2025-11-22?,2025-11-22 00:00:00+00:00,111313726503674868727292053903286233738545910291796322915629957893135891733800,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-her-goa-2025-11-22-her,Will Heracles Almelo win on 2025-11-22?,2025-11-22 00:00:00+00:00,83958074255725180806922860676206468585362427313566898140938720835588986278503,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-spa-sit-2025-11-22-spa,Will Sparta Rotterdam win on 2025-11-22?,2025-11-22 00:00:00+00:00,41058327878028746166634896385482444041311142274242370091468891701220637906833,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-aja-exc-2025-11-22-aja,Will AFC Ajax win on 2025-11-22?,2025-11-22 00:00:00+00:00,28273218600408971995027768949905410502567312525474863499481374342867592076314,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-aja-exc-2025-11-22-exc,Will SBV Excelsior win on 2025-11-22?,2025-11-22 00:00:00+00:00,14873866763236286005877401415938358889563729101783688479690983962851763881082,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-aja-exc-2025-11-22-draw,Will AFC Ajax vs. SBV Excelsior end in a draw?,2025-11-22 00:00:00+00:00,32932291627164380231565179728815945294111530050421628608283496335916807630489,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-der-wat-2025-11-22-der,Will Derby County FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,59179463087541999738939026018459879884458859834063936406576146004813452524465,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-vol-twe-2025-11-22-vol,Will FC Volendam win on 2025-11-22?,2025-11-22 00:00:00+00:00,85794415791061071287960681770271455519759967758756596183529020215691698610988,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-bir-nor-2025-11-22-bir,Will Birmingham City FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,34890372601713156122812530244994457678128764736831683911827750552173238733312,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-ips-wre-2025-11-22-wre,Will Wrexham AFC win on 2025-11-22?,2025-11-22 00:00:00+00:00,1777301444311508444393271471246772664545323722488705046665132347386828469820,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-cov-wba-2025-11-22-draw,Will Coventry City FC vs. West Bromwich Albion FC end in a draw?,2025-11-22 00:00:00+00:00,14791069553954084519476920367866191399385270488363319929231044863432045203285,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-cov-wba-2025-11-22-wba,Will West Bromwich Albion FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,113341348379684291878976534546234826350131341457729247080357547621520640724577,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-bri-swa-2025-11-22-swa,Will Swansea City AFC win on 2025-11-22?,2025-11-22 00:00:00+00:00,64797208075970284961395011385308746150848277708189328525176999128912234326610,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-bir-nor-2025-11-22-nor,Will Norwich City FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,245644257588773214068654573413108048541944470909497628999848671600080811701,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-lei-sto-2025-11-22-sto,Will Stoke City FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,63884286449926750481838265853313943631233792408650671813224080578378491570498,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-spa-sit-2025-11-22-draw,Will Sparta Rotterdam vs. Fortuna Sittard end in a draw?,2025-11-22 00:00:00+00:00,37529091327993271960725408084228226598497389239035051045581765597295932132580,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-nac-psv-2025-11-22-psv,Will PSV win on 2025-11-22?,2025-11-22 00:00:00+00:00,10165756146784234479733977679102859875171915517355513874857460302740689249610,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-cha-sot-2025-11-22-draw,Will Charlton Athletic FC vs. Southampton FC end in a draw?,2025-11-22 00:00:00+00:00,62806774356917336774627981107336779039203735282561365347821895868148847781511,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-cov-wba-2025-11-22-cov,Will Coventry City FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,82589330828085206512144130433661861893269294584873047168705683248008004306109,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-oxf-mid-2025-11-22-draw,Will Oxford United FC vs. Middlesbrough FC end in a draw?,2025-11-22 00:00:00+00:00,11064631815509615160999572400363314096287150820533105144303004024912953835800,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-spa-sit-2025-11-22-sit,Will Fortuna Sittard win on 2025-11-22?,2025-11-22 00:00:00+00:00,82403061487712277195267473240954043926037371123293093862697303710658558563495,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-por-mil-2025-11-22-por,Will Portsmouth FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,101125436285310944028618891677300114045442285073101278923357004966054993758478,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-vol-twe-2025-11-22-twe,Will FC Twente '65 win on 2025-11-22?,2025-11-22 00:00:00+00:00,90148721090516724855230286635989296829205503550208829378366842146076825867030,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-der-wat-2025-11-22-draw,Will Derby County FC vs. Watford FC end in a draw?,2025-11-22 00:00:00+00:00,106313537894469804674851056767065208796909472854914072517376985195193757952147,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-oxf-mid-2025-11-22-oxf,Will Oxford United FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,105188635313668314250390299267881776493167346471397103431768951744742402599752,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-her-goa-2025-11-22-draw,Will Heracles Almelo vs. Go Ahead Eagles end in a draw?,2025-11-22 00:00:00+00:00,49573229979963190599097510385449737576534081992896027979108367539111025590031,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-lei-sto-2025-11-22-draw,Will Leicester City FC vs. Stoke City FC end in a draw?,2025-11-22 00:00:00+00:00,80542681943328380648839691877014073137696052585391893800443718103470528867445,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-cha-sot-2025-11-22-cha,Will Charlton Athletic FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,104550040756199369620787094479546881928248476229341133073280318236194124549513,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-bir-nor-2025-11-22-draw,Will Birmingham City FC vs. Norwich City FC end in a draw?,2025-11-22 00:00:00+00:00,115661324078676939016809177853399854849824155524772115720767761605986859086823,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-ips-wre-2025-11-22-ips,Will Ipswich Town FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,17271505550122959474944430863304401901096313421888178531761314435373708317909,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-der-wat-2025-11-22-wat,Will Watford FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,10602461895688213117056519922500244911950458305959897004471598589592924986823,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-qpr-hul-2025-11-22-qpr,Will Queens Park Rangers FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,12536196265366130295159930996251485596587141250054053485469478080105211666403,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-cha-sot-2025-11-22-sot,Will Southampton FC win on 2025-11-22?,2025-11-22 00:00:00+00:00,47692723629896862912656707015229765702037799455001552026631321344052661041837,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
elc-qpr-hul-2025-11-22-draw,Will Queens Park Rangers FC vs. Hull City AFC end in a draw?,2025-11-22 00:00:00+00:00,16191040923712407686771016410238626784253813531293129765086817584818337717794,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-col-aus-2025-11-18-aus,Will Australia win on 2025-11-18?,2025-11-19 00:00:00+00:00,96076509156245912799700533997482062439404548183544611002883237594103200288573,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-col-aus-2025-11-18-draw,Will Colombia vs. Australia end in a draw?,2025-11-19 00:00:00+00:00,75865904038041528285165544379330559273841189474234384931320555103638695395177,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ecu-nzl-2025-11-18-ecu,Will Ecuador win on 2025-11-18?,2025-11-19 00:00:00+00:00,97870614599576020630018127508209571172371650527957716436728914552277274615259,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-col-nga-2025-11-18-nga,Will Nigeria win on 2025-11-18?,2025-11-19 00:00:00+00:00,21150372965489532071549758779069708362723673758339486446723827080205776592472,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ecu-nzl-2025-11-18-draw,Will Ecuador vs. New Zealand end in a draw?,2025-11-19 00:00:00+00:00,1200195560820534678823689552429940287921210342220564998279666739120316699095,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ecu-nzl-2025-11-18-nzl,Will New Zealand win on 2025-11-18?,2025-11-19 00:00:00+00:00,11072324778067924418890994541582242563638423733016840072457230242123789731660,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-usa-ury-2025-11-18-draw,Will United States vs. Uruguay end in a draw?,2025-11-19 00:00:00+00:00,89368287262369131607558689169892143796831947336718079777004440714257178571422,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-col-aus-2025-11-18-col,Will Colombia win on 2025-11-18?,2025-11-19 00:00:00+00:00,18027670086647612656486993297717264061700281677531600768797858202117741853153,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-mex-par-2025-11-18-par,Will Paraguay win on 2025-11-18?,2025-11-19 00:00:00+00:00,19104159597074870001729213642008954706515822185823028124562431993237395973652,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-col-nga-2025-11-18-draw,Will Colombia vs. Nigeria end in a draw?,2025-11-19 00:00:00+00:00,13422129420876275679762090517457634314052070295905192436920469851136173091532,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-usa-ury-2025-11-18-ury,Will Uruguay win on 2025-11-18?,2025-11-19 00:00:00+00:00,20970587290633607450703709026735372159530437199292908735531788876458028333070,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-cyp-est-2025-11-18-draw,Will Cyprus vs. Estonia end in a draw?,2025-11-18 00:00:00+00:00,77164582020035379092717196775913284101741540293351989726806934875580848520602,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-jpn-bol-2025-11-18-bol,Will Bolivia win on 2025-11-18?,2025-11-18 00:00:00+00:00,4186830444723801450305251465087880937719470511764073688607259807738567170757,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-bra-tun-2025-11-18-draw,Will Brazil vs. Tunisia end in a draw?,2025-11-18 00:00:00+00:00,89551011062509856495270478341497044144063431351484702130367552037026705550709,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-cyp-est-2025-11-18-cyp,Will Cyprus win on 2025-11-18?,2025-11-18 00:00:00+00:00,97651717796608188428685879392526121839296600610917707290296960878428472934998,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-jpn-bol-2025-11-18-draw,Will Japan vs. Bolivia end in a draw?,2025-11-18 00:00:00+00:00,35442935187191948897621290060394836492804491725426909297071402808558997506127,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-bra-tun-2025-11-18-tun,Will Tunisia win on 2025-11-18?,2025-11-18 00:00:00+00:00,15529419087186950395406513792796361145383745326334805543601962933123433227625,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-far-kaz-2025-11-18-kaz,Will Kazakhstan win on 2025-11-18?,2025-11-18 00:00:00+00:00,95995769827591925359757511952201199652562091697501330215852428602242461904172,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-jpn-bol-2025-11-18-jpn,Will Japan win on 2025-11-18?,2025-11-18 00:00:00+00:00,25759008417036882874044616678866077154898346262221505973492003078100596320999,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-far-kaz-2025-11-18-far,Will Faroe Islands win on 2025-11-18?,2025-11-18 00:00:00+00:00,96510789528906902877496519961365013131545890937897866999648856565222551250715,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-far-kaz-2025-11-18-draw,Will Faroe Islands vs. Kazakhstan end in a draw?,2025-11-18 00:00:00+00:00,713597373580477244687705296450578367800123744667136084186822737023487965250,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-cyp-est-2025-11-18-est,Will Estonia win on 2025-11-18?,2025-11-18 00:00:00+00:00,97535240880531023796459900171892178148737183669686593881593791613865850365201,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-fin-and-2025-11-17-draw,Will Finland vs. Andorra end in a draw?,2025-11-17 00:00:00+00:00,35074227489929767588164516571676186612471608213494450219078361026357853566278,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-fin-and-2025-11-17-fin,Will Finland win on 2025-11-17?,2025-11-17 00:00:00+00:00,24955963923199029104259155310129251742440330363529949064502429451104310171580,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-fin-and-2025-11-17-and,Will Andorra win on 2025-11-17?,2025-11-17 00:00:00+00:00,88046037671180764176168317534620308870328512483682912262836052968522878427780,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ven-aus-2025-11-14-draw,Will Venezuela vs. Australia end in a draw?,2025-11-15 00:00:00+00:00,35989424795026362854635230577927571082978562601440871230772392511160088947847,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-rus-chl-2025-11-15-chl,Will Chile win on 2025-11-15?,2025-11-15 00:00:00+00:00,9023641396580149343827214559819184138901217775092431951069207764573570025444,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-rus-chl-2025-11-15-rus,Will Russia win on 2025-11-15?,2025-11-15 00:00:00+00:00,100617403731127786720188232940897817225185945555143598028706068927781239024305,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ven-aus-2025-11-14-ven,Will Venezuela win on 2025-11-14?,2025-11-15 00:00:00+00:00,38555132344160633788355556192006960055162593183201951424965485870295954454556,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-rus-chl-2025-11-15-draw,Will Russia vs. Chile end in a draw?,2025-11-15 00:00:00+00:00,3423177726855229707308130960532464507586954230122174776928074720539028826417,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ven-aus-2025-11-14-aus,Will Australia win on 2025-11-14?,2025-11-15 00:00:00+00:00,80897419067957140711011019428005541112661646294860528006428387511534666594450,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-uzb-egy-2025-11-14-egy,Will Egypt win on 2025-11-14?,2025-11-14 00:00:00+00:00,113155507692428964250876400605433133187356091763959752645564490533455026517259,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-tun-jor-2025-11-14-tun,Will Tunisia win on 2025-11-14?,2025-11-14 00:00:00+00:00,93208362940040153386321814293264632981541073685011834774317000341744426120285,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ang-arg-2025-11-14-arg,Will Argentina win on 2025-11-14?,2025-11-14 00:00:00+00:00,90589725633071721019300389919496111511787661233191359848283363775264871880789,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ang-arg-2025-11-14-draw,Will Angola vs. Argentina end in a draw?,2025-11-14 00:00:00+00:00,26189774075026437445281124631943566252049314687274156909123971142813680382192,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-tun-jor-2025-11-14-draw,Will Tunisia vs. Jordan end in a draw?,2025-11-14 00:00:00+00:00,47596548374822465567737236348434774528874811788295842889472978619006428742924,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-tun-jor-2025-11-14-jor,Will Jordan win on 2025-11-14?,2025-11-14 00:00:00+00:00,35008645159848461603261459824212267675249026709951909027913048007410293420054,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-uzb-egy-2025-11-14-draw,Will Uzbekistan vs. Egypt end in a draw?,2025-11-14 00:00:00+00:00,37091987556099932692841953757161724688921016598349157677930276747427102230466,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-irn-cvi-2025-11-13-cvi,Will Cabo Verde win on 2025-11-13?,2025-11-13 00:00:00+00:00,27665817011613015343831328873822479179415998847536616929808942341970573179167,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-irn-cvi-2025-11-13-draw,Will IR Iran vs. Cabo Verde end in a draw?,2025-11-13 00:00:00+00:00,80253535691108868223550567180958246513553299948885768363771541314987633299812,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ban-afg-2025-11-13-draw,Will Bangladesh vs. Afghanistan end in a draw?,2025-11-13 00:00:00+00:00,44311576602928462828180249733865578275967402170346531103095439352643463939393,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-tha-sin-2025-11-13-tha,Will Thailand win on 2025-11-13?,2025-11-13 00:00:00+00:00,24583797952948765765342394224097279870213314762109967073934941286278779994478,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-irn-cvi-2025-11-13-irn,Will IR Iran win on 2025-11-13?,2025-11-13 00:00:00+00:00,92036120109713044387492366194980789592071953934263342961036097201474450433158,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-tha-sin-2025-11-13-sin,Will Singapore win on 2025-11-13?,2025-11-13 00:00:00+00:00,49701258452593076678110891531929351681472163305236882364682713335487792012243,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ban-afg-2025-11-13-ban,Will Bangladesh win on 2025-11-13?,2025-11-13 00:00:00+00:00,27088355533436248948862329819052119374373375554217061759252403707414384277957,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-ban-afg-2025-11-13-afg,Will Afghanistan win on 2025-11-13?,2025-11-13 00:00:00+00:00,85805718806255777423535924113219228350948975811772971996368100552923274200936,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-hkg-cam-2025-11-13-draw,Will Hong Kong SAR vs. Cambodia end in a draw?,2025-11-13 00:00:00+00:00,73570973503173900560998005577868201201185341578323319579317127856792815369608,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-tun-mtn-2025-11-12-draw,Will Tunisia vs. Mauritania end in a draw?,2025-11-12 00:00:00+00:00,4428690244612034466175742605877643940631407516297311420994024165367508274157,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-rus-per-2025-11-12-draw,Will Russia vs. Peru end in a draw?,2025-11-12 00:00:00+00:00,74449066029814686666779249727080888442882919244380352384053980802736726746819,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-tun-mtn-2025-11-12-tun,Will Tunisia win on 2025-11-12?,2025-11-12 00:00:00+00:00,113365684951310578056772474878401278379011934280046480867874281720720005718279,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fif-rus-per-2025-11-12-per,Will Peru win on 2025-11-12?,2025-11-12 00:00:00+00:00,100718720183261002331438396690385622610162438322011421303075017224456404927289,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
lal-cel-bar-2025-11-09-bar,Will Barcelona win on 2025-11-09?,2025-11-09 00:00:00+00:00,101791352074425679508470151280524949227687651009028205382137674145286251515700,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
